"to_id";"from_id"
"ForzaNuova1997";"805837025723187200"
"ForzaNuova1997";"1579460357348786176"
"ForzaNuova1997";"16467238"
"ForzaNuova1997";"1569058951395741698"
"ForzaNuova1997";"1268782642029309952"
"ForzaNuova1997";"905792224981606400"
"ForzaNuova1997";"2882983457"
"ForzaNuova1997";"35259388"
"ForzaNuova1997";"1394716961502867463"
"ForzaNuova1997";"178004354"
"ForzaNuova1997";"1585023870679097355"
"ForzaNuova1997";"1420701871757484041"
"ForzaNuova1997";"391628121"
"ForzaNuova1997";"1282063085021409280"
"ForzaNuova1997";"886252511753011201"
"ForzaNuova1997";"1583815393956741120"
"ForzaNuova1997";"1583443166207922178"
"ForzaNuova1997";"1469762294863310850"
"ForzaNuova1997";"1464901166739906563"
"ForzaNuova1997";"1544070001870749698"
"ForzaNuova1997";"1518677505435213824"
"ForzaNuova1997";"3063998776"
"ForzaNuova1997";"1583392576740229120"
"ForzaNuova1997";"868831173761433600"
"ForzaNuova1997";"1409923885110267906"
"ForzaNuova1997";"1555276569777774592"
"ForzaNuova1997";"1582318974875975680"
"ForzaNuova1997";"1009166236624842758"
"ForzaNuova1997";"1322491912427872258"
"ForzaNuova1997";"1583443293530214400"
"ForzaNuova1997";"1706816406"
"ForzaNuova1997";"1583412630689124352"
"ForzaNuova1997";"840571640895422464"
"ForzaNuova1997";"4895965385"
"ForzaNuova1997";"4555517302"
"ForzaNuova1997";"1088921400050634752"
"ForzaNuova1997";"2796145285"
"ForzaNuova1997";"906624216426012673"
"ForzaNuova1997";"1578145408680968200"
"ForzaNuova1997";"448825733"
"ForzaNuova1997";"1582762232361979905"
"ForzaNuova1997";"420299485"
"ForzaNuova1997";"1580115346664587265"
"ForzaNuova1997";"1212333263827554304"
"ForzaNuova1997";"1502542693615947776"
"ForzaNuova1997";"1137256390857281536"
"ForzaNuova1997";"1435573345794285573"
"ForzaNuova1997";"1346478878890422272"
"ForzaNuova1997";"1552943350147325953"
"ForzaNuova1997";"1574072636409266176"
"ForzaNuova1997";"1552232321780256769"
"ForzaNuova1997";"1582333157864505344"
"ForzaNuova1997";"633342024"
"ForzaNuova1997";"1062395654696128513"
"ForzaNuova1997";"1380602414936494082"
"ForzaNuova1997";"156467790"
"ForzaNuova1997";"1560198301886062592"
"ForzaNuova1997";"1566523301861928960"
"ForzaNuova1997";"3091729227"
"ForzaNuova1997";"1443563632600756225"
"ForzaNuova1997";"1490329472704393217"
"ForzaNuova1997";"748653384371146754"
"ForzaNuova1997";"393409142"
"ForzaNuova1997";"1545365627686322179"
"ForzaNuova1997";"503361474"
"ForzaNuova1997";"143867179"
"ForzaNuova1997";"493406536"
"ForzaNuova1997";"1519381122957942791"
"ForzaNuova1997";"1321518725690990599"
"ForzaNuova1997";"1237851955554213890"
"ForzaNuova1997";"1501262315013951489"
"ForzaNuova1997";"1503468674111488010"
"ForzaNuova1997";"1485359540254220290"
"ForzaNuova1997";"735051887997812736"
"ForzaNuova1997";"1377601609514024961"
"ForzaNuova1997";"1570273056"
"ForzaNuova1997";"3010559949"
"ForzaNuova1997";"3400355128"
"ForzaNuova1997";"1487780874510909443"
"ForzaNuova1997";"1446242730405941250"
"ForzaNuova1997";"1580274394693308434"
"ForzaNuova1997";"1574153540255236103"
"ForzaNuova1997";"1579970431397814273"
"ForzaNuova1997";"3207687075"
