"from_id";"to_id"
"1073242351106174977";"NeraRadio"
"1402835909695971329";"NeraRadio"
"1182253500371292161";"NeraRadio"
"1312488094768168966";"NeraRadio"
"837333495995334656";"NeraRadio"
"543682030";"NeraRadio"
"3140067088";"NeraRadio"
"1485231681137258503";"NeraRadio"
"848512751668514816";"NeraRadio"
"900429062";"NeraRadio"
"269011908";"NeraRadio"
"1364303913273483266";"NeraRadio"
"215699843";"NeraRadio"
"52195115";"NeraRadio"
"1313589183592706051";"NeraRadio"
"2752545178";"NeraRadio"
"948634319861485574";"NeraRadio"
"1231975154009411587";"NeraRadio"
"756832434";"NeraRadio"
"1379895102257106946";"NeraRadio"
"1149489069086298114";"NeraRadio"
"711598685";"NeraRadio"
"1414952446716153859";"NeraRadio"
"2525094860";"NeraRadio"
"883326537101176832";"NeraRadio"
"1317204392869793792";"NeraRadio"
"2732663272";"NeraRadio"
"958530558";"NeraRadio"
"1044962783069171712";"NeraRadio"
"353236905";"NeraRadio"
"1002205490057793536";"NeraRadio"
"274191168";"NeraRadio"
"262587791";"NeraRadio"
"1248152121259831296";"NeraRadio"
"1258705664681132033";"NeraRadio"
"2860234137";"NeraRadio"
"1192343650887520256";"NeraRadio"
"82946165";"NeraRadio"
"1388217832941445121";"NeraRadio"
"1380821613965418502";"NeraRadio"
"3978683129";"NeraRadio"
"737633633356369921";"NeraRadio"
"807118404";"NeraRadio"
"947166162072334336";"NeraRadio"
"1460905210017206275";"NeraRadio"
"2324171570";"NeraRadio"
"1413463043888058370";"NeraRadio"
"1387793695";"NeraRadio"
"1179527977316622336";"NeraRadio"
"912797514239275010";"NeraRadio"
"1432517894";"NeraRadio"
"1065282388849242112";"NeraRadio"
"1348996921646575617";"NeraRadio"
"1262057134554075136";"NeraRadio"
"1155175135747485696";"NeraRadio"
"876095223864209409";"NeraRadio"
"1600755472352657408";"Zetazeroalfa451"
"1554159131296256008";"Zetazeroalfa451"
"1109077257870557184";"Zetazeroalfa451"
"1112354838266941442";"Zetazeroalfa451"
"1631399683";"Zetazeroalfa451"
"1585980706487951360";"Zetazeroalfa451"
"1580844163691675649";"Zetazeroalfa451"
"1585637119502225411";"Zetazeroalfa451"
"722880029181534208";"Zetazeroalfa451"
"1474835701346807808";"Zetazeroalfa451"
"1582762232361979905";"Zetazeroalfa451"
"1582333157864505344";"Zetazeroalfa451"
"1320128405149548544";"Zetazeroalfa451"
"1549501938164572160";"Zetazeroalfa451"
"1460865390918184970";"Zetazeroalfa451"
"1578461210441404417";"Zetazeroalfa451"
"1226086586271531008";"Zetazeroalfa451"
"1477317380770512904";"Zetazeroalfa451"
"1537864174394646529";"Zetazeroalfa451"
"1575888235313909761";"Zetazeroalfa451"
"1512180425254387717";"Zetazeroalfa451"
"508755473";"Zetazeroalfa451"
"510570744";"Zetazeroalfa451"
"1557369005387780098";"Zetazeroalfa451"
"916114348883562498";"Zetazeroalfa451"
"1121684977538617350";"Zetazeroalfa451"
"723048271";"Zetazeroalfa451"
"1568594191583780864";"Zetazeroalfa451"
"269741340";"Zetazeroalfa451"
"781692894054842368";"Zetazeroalfa451"
"4185945862";"Zetazeroalfa451"
"4187410407";"Zetazeroalfa451"
"1554981071648948230";"Zetazeroalfa451"
"1053651534901325824";"Zetazeroalfa451"
